,hot,episode,guzhuang,Bilibili,LeTV,Youku,multi,Sohu,Aiqy,Tencent,MangoTV,time,actor_con,actor_degree,director_con,director_degree
1749,30.75,24.0,1,0,0,0,0,0,0,0,1,14,0.5,0.011049723756906077,0.125,0.005544005544005544
1757,36.84,20.0,0,0,0,0,0,0,0,1,0,14,0.5,0.011049723756906077,0.25,0.002772002772002772
1764,67.85,20.0,0,0,0,0,0,0,0,1,0,14,0.25,0.022099447513812154,0.0625,0.011088011088011088
1769,22.09,24.0,0,0,0,1,0,0,0,0,0,14,0.3333333333333333,0.016574585635359115,0.05555555555555555,0.012474012474012475
1770,19.88,30.0,1,0,0,1,0,0,0,0,0,14,1.0,0.0055248618784530384,0.07692307692307694,0.009009009009009009
1771,39.84,24.0,0,0,0,0,0,0,0,0,1,14,0.3333333333333333,0.016574585635359115,0.1111111111111111,0.006237006237006237
1773,31.98,18.0,1,0,0,0,0,0,0,0,1,14,0.3333333333333333,0.016574585635359115,0.1111111111111111,0.006237006237006237
1778,74.33,32.0,0,0,0,0,1,0,0,0,0,14,0.14285714285714285,0.038674033149171276,0.02380952380952379,0.029106029106029108
1782,52.18,16.0,0,0,0,0,0,0,1,0,0,14,0.25,0.022099447513812154,0.10000000000000003,0.00693000693000693
1788,86.45,39.0,1,0,0,0,0,0,1,0,0,15,0.1111111111111111,0.049723756906077346,0.03225806451612904,0.021483021483021485
1805,34.98,18.0,0,0,0,0,0,0,0,0,1,15,0.25,0.022099447513812154,0.09090909090909091,0.007623007623007623
1810,83.65,16.0,0,0,0,0,0,0,1,0,0,15,0.20000000000000004,0.027624309392265192,0.06666666666666667,0.010395010395010396
1820,68.97,24.0,0,0,0,0,1,0,0,0,0,15,0.25,0.022099447513812154,0.05263157894736843,0.013167013167013169
1827,23.0,20.0,0,0,0,1,0,0,0,0,0,15,0.5,0.011049723756906077,0.05555555555555555,0.012474012474012475
1829,66.52,24.0,1,0,0,0,1,0,0,0,0,15,0.1111111111111111,0.049723756906077346,0.034482758620689634,0.0200970200970201
1838,37.31,30.0,0,0,0,1,0,0,0,0,0,15,0.5,0.011049723756906077,0.07692307692307694,0.009009009009009009
1851,80.94,16.0,0,0,0,0,0,0,0,0,1,15,0.3333333333333333,0.016574585635359115,0.20000000000000004,0.003465003465003465
1855,38.28,12.0,0,0,0,0,0,0,0,1,0,15,0.3333333333333333,0.016574585635359115,0.3333333333333333,0.002079002079002079
1859,23.57,30.0,0,0,0,1,0,0,0,0,0,15,1.0,0.0055248618784530384,0.5,0.001386001386001386
1860,23.55,17.0,0,0,0,1,0,0,0,0,0,15,0.5,0.011049723756906077,0.16666666666666669,0.004158004158004158
1868,70.12,30.0,0,0,0,1,0,0,0,0,0,15,0.3333333333333333,0.016574585635359115,0.08333333333333336,0.008316008316008316
1869,23.68,30.0,0,0,0,1,0,0,0,0,0,15,0.5,0.011049723756906077,0.20000000000000004,0.003465003465003465
1873,23.16,23.0,0,0,0,1,0,0,0,0,0,15,1.0,0.0055248618784530384,0.14285714285714285,0.0048510048510048516
1877,59.52,24.0,1,0,0,0,1,0,0,0,0,15,0.25,0.022099447513812154,0.05000000000000003,0.01386001386001386
1880,36.39,20.0,0,0,0,1,0,0,0,0,0,15,1.0,0.0055248618784530384,0.25,0.002772002772002772
1881,29.06,12.0,0,0,0,0,0,0,1,0,0,15,0.5,0.011049723756906077,0.09090909090909091,0.007623007623007623
1890,68.89,40.0,0,0,0,0,1,0,0,0,0,15,0.25,0.022099447513812154,0.05882352941176469,0.01178101178101178
1892,40.38,40.0,1,0,0,0,0,0,0,1,0,15,0.3333333333333333,0.016574585635359115,0.09090909090909091,0.007623007623007623
1896,36.5,28.0,0,0,0,0,0,0,0,0,1,15,0.5,0.011049723756906077,0.20000000000000004,0.003465003465003465
1914,89.72,40.0,0,0,0,0,0,0,1,0,0,15,0.25,0.022099447513812154,0.016949152542372874,0.040887040887040885
1915,64.63,30.0,0,0,0,0,0,0,0,0,1,15,0.25,0.022099447513812154,0.1111111111111111,0.006237006237006237
1920,35.55,20.0,1,0,0,0,0,0,0,0,1,15,1.0,0.0055248618784530384,0.16666666666666669,0.004158004158004158
1928,41.37,20.0,0,0,0,0,0,0,0,1,0,15,1.0,0.0055248618784530384,1.0,0.000693000693000693
1933,36.68,25.311475409836067,0,0,0,0,0,0,0,0,1,15,0.5,0.011049723756906077,0.16666666666666669,0.004158004158004158
1943,24.09,15.0,0,0,0,1,0,0,0,0,0,16,1.0,0.0055248618784530384,0.5,0.001386001386001386
1951,24.51,25.311475409836067,1,0,0,1,0,0,0,0,0,16,1.0,0.0055248618784530384,0.07692307692307694,0.009009009009009009
1955,24.3,25.311475409836067,1,0,0,1,0,0,0,0,0,16,0.5,0.011049723756906077,0.05555555555555555,0.012474012474012475
1964,48.27,24.0,1,0,0,0,0,0,0,1,0,16,0.3333333333333333,0.016574585635359115,0.027777777777777776,0.02494802494802495
1973,68.75,29.0,0,0,0,0,1,0,0,0,0,16,0.5,0.011049723756906077,0.0625,0.011088011088011088
1978,62.21,24.0,0,0,0,0,0,0,1,0,0,16,0.20000000000000004,0.027624309392265192,0.03225806451612904,0.021483021483021485
1980,18.05,24.0,0,0,0,0,0,0,0,0,1,16,0.5,0.011049723756906077,0.25,0.002772002772002772
1981,94.18,15.0,0,0,0,0,0,0,0,1,0,16,0.20000000000000004,0.027624309392265192,0.04347826086956521,0.01593901593901594
1986,53.23,24.0,0,0,0,0,0,0,0,1,0,16,0.20000000000000004,0.027624309392265192,0.08333333333333336,0.008316008316008316
1994,24.63,25.0,0,0,0,1,0,0,0,0,0,16,0.3333333333333333,0.016574585635359115,0.20000000000000004,0.003465003465003465
2010,70.61,25.311475409836067,0,0,0,0,0,0,0,1,0,16,0.125,0.04419889502762431,0.16666666666666669,0.004158004158004158
2017,41.01,25.311475409836067,0,0,0,0,0,0,0,0,1,16,0.5,0.011049723756906077,0.25,0.002772002772002772
2027,40.48,21.0,1,0,0,0,0,0,0,1,0,16,0.3333333333333333,0.016574585635359115,0.027777777777777776,0.02494802494802495
2029,67.47,40.0,0,0,0,1,0,0,0,0,0,16,0.5,0.011049723756906077,0.05555555555555555,0.012474012474012475
2031,13.14,24.0,0,0,0,0,0,0,0,0,1,16,0.3333333333333333,0.016574585635359115,0.3333333333333333,0.002079002079002079
2035,38.73,14.0,1,0,0,0,0,0,0,1,0,16,0.25,0.022099447513812154,0.09090909090909091,0.007623007623007623
2039,68.49,36.0,0,0,0,1,0,0,0,0,0,16,0.25,0.022099447513812154,0.05555555555555555,0.012474012474012475
2045,44.33,20.0,0,0,0,1,0,0,0,0,0,16,1.0,0.0055248618784530384,0.3333333333333333,0.002079002079002079
2046,67.9,24.0,0,0,0,0,0,0,0,0,1,16,0.25,0.022099447513812154,0.0625,0.011088011088011088
2054,23.33,24.0,1,0,0,0,0,0,0,1,0,16,1.0,0.0055248618784530384,0.3333333333333333,0.002079002079002079
2055,32.61,20.0,0,0,0,0,0,0,0,0,1,16,0.5,0.011049723756906077,0.3333333333333333,0.002079002079002079
2056,36.46,20.0,1,0,0,1,0,0,0,0,0,16,0.5,0.011049723756906077,0.05555555555555555,0.012474012474012475
2059,66.52,30.0,0,0,0,0,0,0,0,0,1,16,0.3333333333333333,0.016574585635359115,0.05555555555555555,0.012474012474012475
2069,68.67,40.0,0,0,0,0,0,0,0,1,0,17,0.125,0.04419889502762431,0.05000000000000003,0.01386001386001386
2082,69.51,1.0,0,0,0,0,1,0,0,0,0,17,0.20000000000000004,0.027624309392265192,0.05000000000000003,0.01386001386001386
2084,69.31,24.0,0,0,0,1,0,0,0,0,0,17,0.3333333333333333,0.016574585635359115,0.039999999999999994,0.017325017325017327
2086,34.57,1.0,0,0,0,0,0,0,0,1,0,17,0.25,0.022099447513812154,0.0625,0.011088011088011088
2094,45.6,24.0,1,0,0,0,0,0,0,1,0,17,0.3333333333333333,0.016574585635359115,0.027777777777777776,0.02494802494802495
2099,66.14,16.0,0,0,0,0,0,0,0,0,1,17,0.25,0.022099447513812154,0.1111111111111111,0.006237006237006237
2103,33.56,15.0,0,0,0,0,0,0,0,1,0,17,0.5,0.011049723756906077,0.3333333333333333,0.002079002079002079
2104,34.74,16.0,0,0,0,0,0,0,0,0,1,17,0.3333333333333333,0.016574585635359115,0.0625,0.011088011088011088
2105,25.56,25.311475409836067,1,0,0,1,0,0,0,0,0,17,0.20000000000000004,0.027624309392265192,0.07692307692307694,0.009009009009009009
2115,39.96,28.0,1,0,0,1,0,0,0,0,0,17,0.25,0.022099447513812154,0.25,0.002772002772002772
2116,25.97,19.0,1,0,0,1,0,0,0,0,0,17,1.0,0.0055248618784530384,0.07692307692307694,0.009009009009009009
2121,26.26,50.0,1,0,0,1,0,0,0,0,0,17,0.3333333333333333,0.016574585635359115,0.25,0.002772002772002772
2126,38.45,19.0,1,0,0,1,0,0,0,0,0,17,1.0,0.0055248618784530384,0.07692307692307694,0.009009009009009009
2127,33.48,20.0,1,0,0,1,0,0,0,0,0,17,1.0,0.0055248618784530384,0.07692307692307694,0.009009009009009009
2131,39.72,15.0,0,0,0,0,0,0,0,1,0,17,0.5,0.011049723756906077,0.10000000000000003,0.00693000693000693
2133,34.74,13.0,0,0,0,1,0,0,0,0,0,17,0.5,0.011049723756906077,0.3333333333333333,0.002079002079002079
2134,18.59,15.0,0,0,0,0,0,0,0,0,1,17,0.25,0.022099447513812154,0.25,0.002772002772002772
2137,81.13,40.0,1,0,0,0,0,0,0,0,1,17,0.125,0.04419889502762431,0.01785714285714287,0.03880803880803881
2142,74.83,38.0,0,0,0,0,0,0,0,1,0,17,0.20000000000000004,0.027624309392265192,0.20000000000000004,0.003465003465003465
2146,25.62,15.0,1,0,0,1,0,0,0,0,0,17,0.25,0.022099447513812154,0.05555555555555555,0.012474012474012475
2152,36.55,24.0,1,0,0,1,0,0,0,0,0,17,0.5,0.011049723756906077,0.07692307692307694,0.009009009009009009
2165,58.11,24.0,1,0,0,0,1,0,0,0,0,17,0.5,0.011049723756906077,0.14285714285714285,0.0048510048510048516
2182,41.04,25.311475409836067,1,0,0,0,0,0,0,1,0,18,0.25,0.022099447513812154,0.07142857142857142,0.009702009702009703
2196,23.2,19.0,0,0,0,1,0,0,0,0,0,18,0.20000000000000004,0.027624309392265192,0.5,0.001386001386001386
2197,38.62,25.0,1,0,0,0,0,0,0,1,0,18,1.0,0.0055248618784530384,0.3333333333333333,0.002079002079002079
2200,7.82,11.0,0,0,0,0,0,0,0,0,1,18,0.5,0.011049723756906077,0.25,0.002772002772002772
2213,29.37,30.0,0,0,0,0,0,0,0,1,0,18,0.3333333333333333,0.016574585635359115,0.25,0.002772002772002772
2215,18.3,25.0,1,0,0,0,0,0,0,0,1,18,0.3333333333333333,0.016574585635359115,0.09090909090909091,0.007623007623007623
2220,26.17,30.0,0,0,0,1,0,0,0,0,0,18,0.5,0.011049723756906077,0.16666666666666669,0.004158004158004158
2226,33.42,18.0,0,0,0,0,0,0,0,1,0,18,0.5,0.011049723756906077,0.09090909090909091,0.007623007623007623
2227,43.4,22.0,0,0,0,0,1,0,0,0,0,18,0.25,0.022099447513812154,0.0625,0.011088011088011088
2230,38.14,23.0,0,0,0,1,0,0,0,0,0,18,1.0,0.0055248618784530384,0.14285714285714285,0.0048510048510048516
2232,42.05,24.0,0,0,0,1,0,0,0,0,0,18,1.0,0.0055248618784530384,0.5,0.001386001386001386
2236,67.57,30.0,0,0,0,0,1,0,0,0,0,18,0.25,0.022099447513812154,0.05555555555555555,0.012474012474012475
2238,84.56,42.0,1,0,0,1,0,0,0,0,0,18,0.1111111111111111,0.049723756906077346,0.02941176470588234,0.02356202356202356
2243,40.14,20.0,1,0,0,1,0,0,0,0,0,18,1.0,0.0055248618784530384,0.14285714285714285,0.0048510048510048516
2245,55.03,12.0,0,0,0,0,0,0,1,0,0,18,0.25,0.022099447513812154,0.03333333333333333,0.02079002079002079
2264,62.87,25.311475409836067,0,0,0,0,1,0,0,0,0,18,0.20000000000000004,0.027624309392265192,0.02631578947368422,0.026334026334026338
2267,47.07,25.311475409836067,0,0,0,0,0,0,1,0,0,18,0.25,0.022099447513812154,0.1111111111111111,0.006237006237006237
2277,41.24,25.311475409836067,0,0,0,0,0,0,0,1,0,18,0.3333333333333333,0.016574585635359115,0.14285714285714285,0.0048510048510048516
2281,50.78,16.0,1,0,0,0,0,0,1,0,0,18,0.20000000000000004,0.027624309392265192,0.10000000000000003,0.00693000693000693
2301,20.24,24.0,1,0,0,0,0,0,0,0,1,19,0.5,0.011049723756906077,0.3333333333333333,0.002079002079002079
2304,32.38,20.0,0,0,0,0,0,0,0,1,0,19,0.5,0.011049723756906077,0.25,0.002772002772002772
2306,61.22,16.0,1,1,0,0,0,0,0,0,0,19,0.14285714285714285,0.038674033149171276,0.03333333333333333,0.02079002079002079
2324,37.51,25.311475409836067,0,0,0,1,0,0,0,0,0,19,0.3333333333333333,0.016574585635359115,0.07692307692307694,0.009009009009009009
2333,58.05,25.311475409836067,0,0,0,0,0,0,0,1,0,19,1.0,0.0055248618784530384,0.125,0.005544005544005544
2334,35.6,25.311475409836067,0,0,0,0,0,0,0,1,0,19,0.5,0.011049723756906077,0.07692307692307694,0.009009009009009009
2336,32.07,25.311475409836067,0,0,0,0,0,0,0,0,1,19,0.5,0.011049723756906077,0.20000000000000004,0.003465003465003465
2346,25.86,29.0,0,0,0,1,0,0,0,0,0,19,0.20000000000000004,0.027624309392265192,0.125,0.005544005544005544
2349,85.56,40.0,1,0,0,0,0,0,0,1,0,19,0.14285714285714285,0.038674033149171276,0.02631578947368422,0.026334026334026338
2359,32.68,12.0,0,0,0,0,0,0,0,0,1,19,0.25,0.022099447513812154,0.08333333333333336,0.008316008316008316
2363,37.15,13.0,0,0,0,1,0,0,0,0,0,19,1.0,0.0055248618784530384,1.0,0.000693000693000693
2365,46.36,18.0,0,0,0,1,0,0,0,0,0,19,0.5,0.011049723756906077,0.1111111111111111,0.006237006237006237
2370,23.7,56.0,0,0,0,1,0,0,0,0,0,19,0.3333333333333333,0.016574585635359115,0.25,0.002772002772002772
2372,35.54,16.0,0,0,0,0,0,0,0,1,0,19,0.5,0.011049723756906077,0.09090909090909091,0.007623007623007623
2376,30.94,21.0,1,0,0,0,0,0,0,1,0,19,1.0,0.0055248618784530384,0.20000000000000004,0.003465003465003465
2378,13.22,20.0,1,0,0,0,0,0,0,0,1,19,1.0,0.0055248618784530384,0.5,0.001386001386001386
2379,21.13,20.0,1,0,0,0,0,0,0,0,1,19,1.0,0.0055248618784530384,0.5,0.001386001386001386
2380,54.01,8.0,0,0,0,0,0,0,0,1,0,19,0.25,0.022099447513812154,0.09090909090909091,0.007623007623007623
2388,68.56,39.0,0,0,0,0,0,0,0,1,0,19,0.14285714285714285,0.038674033149171276,0.05555555555555555,0.012474012474012475
2389,44.58,18.0,1,0,0,1,0,0,0,0,0,19,0.5,0.011049723756906077,0.1111111111111111,0.006237006237006237
2396,40.63,18.0,1,0,0,0,0,0,0,0,1,19,0.3333333333333333,0.016574585635359115,0.3333333333333333,0.002079002079002079
2400,22.64,25.311475409836067,0,0,0,0,0,0,0,1,0,19,1.0,0.0055248618784530384,0.03125,0.022176022176022176
2408,54.22,24.0,0,0,0,0,0,0,1,0,0,20,0.20000000000000004,0.027624309392265192,0.039999999999999994,0.017325017325017327
2415,67.36,26.0,0,0,0,0,1,0,0,0,0,20,0.3333333333333333,0.016574585635359115,0.02380952380952379,0.029106029106029108
2433,35.2,26.0,1,0,0,0,0,0,0,1,0,20,0.5,0.011049723756906077,0.14285714285714285,0.0048510048510048516
2434,42.33,40.0,1,0,0,0,0,0,0,1,0,20,0.3333333333333333,0.016574585635359115,0.09090909090909091,0.007623007623007623
2436,31.64,24.0,1,0,0,0,0,0,0,0,1,20,1.0,0.0055248618784530384,0.5,0.001386001386001386
2445,34.68,25.0,0,0,0,0,0,0,0,1,0,20,1.0,0.0055248618784530384,0.14285714285714285,0.0048510048510048516
2448,49.63,20.0,0,0,0,1,0,0,0,0,0,20,0.1111111111111111,0.049723756906077346,0.07142857142857142,0.009702009702009703
2462,46.94,24.0,0,0,0,0,0,0,1,0,0,20,0.20000000000000004,0.027624309392265192,0.09090909090909091,0.007623007623007623
2470,68.02,40.0,0,0,0,0,1,0,0,0,0,20,0.14285714285714285,0.038674033149171276,0.16666666666666669,0.004158004158004158
2475,60.81,24.0,1,0,0,0,0,0,0,0,1,20,0.25,0.022099447513812154,0.01886792452830187,0.036729036729036726
2483,25.78,34.0,0,0,0,0,0,0,0,1,0,20,0.5,0.011049723756906077,1.0,0.000693000693000693
2501,51.98,27.0,0,0,0,0,1,0,0,0,0,20,1.0,0.0055248618784530384,0.5,0.001386001386001386
2502,13.43,25.311475409836067,1,0,0,0,0,0,0,0,1,20,0.5,0.011049723756906077,0.25,0.002772002772002772
2515,20.5,25.311475409836067,0,0,0,1,0,0,0,0,0,20,0.5,0.011049723756906077,0.1111111111111111,0.006237006237006237
2518,35.53,45.0,0,0,0,0,0,0,0,0,1,20,0.5,0.011049723756906077,0.20000000000000004,0.003465003465003465
2520,35.28,28.0,1,0,0,0,0,0,0,1,0,20,1.0,0.0055248618784530384,0.08333333333333336,0.008316008316008316
2532,86.14,40.0,1,0,0,0,0,0,0,1,0,21,0.20000000000000004,0.027624309392265192,0.045454545454545456,0.015246015246015246
2537,71.45,40.0,0,0,0,0,0,0,0,1,0,21,0.3333333333333333,0.016574585635359115,0.05000000000000003,0.01386001386001386
2542,59.19,18.0,0,0,0,1,0,0,0,0,0,21,0.25,0.022099447513812154,0.07142857142857142,0.009702009702009703
2553,58.61,24.0,0,0,0,0,0,0,1,0,0,21,0.1111111111111111,0.049723756906077346,0.05555555555555555,0.012474012474012475
2559,44.65,24.0,0,0,0,0,0,0,0,1,0,21,0.20000000000000004,0.027624309392265192,0.09090909090909091,0.007623007623007623
2568,64.86,25.311475409836067,0,0,0,0,0,0,0,0,1,21,0.3333333333333333,0.016574585635359115,0.09090909090909091,0.007623007623007623
2576,31.24,25.0,0,0,1,0,0,0,0,0,0,21,0.25,0.022099447513812154,0.16666666666666669,0.004158004158004158
2578,71.65,30.0,0,0,0,0,0,0,1,0,0,21,0.14285714285714285,0.038674033149171276,0.01886792452830187,0.036729036729036726
2579,37.85,25.311475409836067,1,0,0,0,0,0,0,0,1,21,0.5,0.011049723756906077,0.25,0.002772002772002772
2598,68.04,25.311475409836067,1,0,0,1,0,0,0,0,0,21,0.125,0.04419889502762431,0.05555555555555555,0.012474012474012475
2603,76.51,36.0,0,0,0,0,0,0,1,0,0,21,0.25,0.022099447513812154,0.02083333333333332,0.033264033264033266
2621,40.14,24.0,0,0,0,0,0,0,0,1,0,21,1.0,0.0055248618784530384,0.10000000000000003,0.00693000693000693
2633,37.86,12.0,0,0,0,0,0,0,0,1,0,22,0.5,0.011049723756906077,1.0,0.000693000693000693
2635,59.17,24.0,0,0,0,0,0,0,0,1,0,22,1.0,0.0055248618784530384,0.09090909090909091,0.007623007623007623
2642,36.64,10.0,0,0,0,0,1,0,0,0,0,22,1.0,0.0055248618784530384,0.16666666666666669,0.004158004158004158
2647,84.18,56.0,1,0,0,0,0,0,0,1,0,22,0.20000000000000004,0.027624309392265192,0.03125,0.022176022176022176
2656,65.23,30.0,0,0,0,0,0,0,0,1,0,22,0.3333333333333333,0.016574585635359115,0.1111111111111111,0.006237006237006237
2669,17.87,21.0,0,0,0,1,0,0,0,0,0,22,1.0,0.0055248618784530384,1.0,0.000693000693000693
2673,16.87,18.0,0,0,0,1,0,0,0,0,0,22,0.3333333333333333,0.016574585635359115,1.0,0.000693000693000693
2682,65.05,36.0,0,0,0,0,0,0,0,1,0,22,0.25,0.022099447513812154,0.09090909090909091,0.007623007623007623
2683,70.19,20.0,0,0,0,1,0,0,0,0,0,22,0.25,0.022099447513812154,0.045454545454545456,0.015246015246015246
2687,35.28,9.0,0,0,0,0,0,0,0,0,1,22,0.5,0.011049723756906077,0.07142857142857142,0.009702009702009703
2688,34.92,20.0,1,0,0,1,0,0,0,0,0,22,1.0,0.0055248618784530384,0.5,0.001386001386001386
2708,37.59,24.0,0,0,0,0,0,0,0,1,0,22,0.20000000000000004,0.027624309392265192,0.09090909090909091,0.007623007623007623
2709,83.81,38.0,1,0,0,1,0,0,0,0,0,22,0.14285714285714285,0.038674033149171276,0.016393442622950834,0.04227304227304227
2718,29.04,38.0,0,0,0,0,0,0,0,1,0,22,0.5,0.011049723756906077,0.09090909090909091,0.007623007623007623
2756,56.3,18.0,0,0,0,0,0,0,0,1,0,23,0.3333333333333333,0.016574585635359115,0.07142857142857142,0.009702009702009703
2762,40.73,37.0,0,0,0,0,0,0,0,1,0,23,0.5,0.011049723756906077,0.20000000000000004,0.003465003465003465
2764,16.19,24.0,0,0,0,1,0,0,0,0,0,23,0.20000000000000004,0.027624309392265192,0.125,0.005544005544005544
2775,84.93,36.0,1,0,0,0,0,0,1,0,0,23,0.16666666666666669,0.03314917127071823,0.05263157894736843,0.013167013167013169
2779,52.78,24.0,0,0,0,0,1,0,0,0,0,23,0.5,0.011049723756906077,0.06666666666666667,0.010395010395010396
2780,73.3,40.0,0,0,0,0,1,0,0,0,0,23,0.20000000000000004,0.027624309392265192,0.06666666666666667,0.010395010395010396
2781,71.17,16.0,0,0,0,1,0,0,0,0,0,23,0.16666666666666669,0.03314917127071823,0.0625,0.011088011088011088
2794,81.72,32.0,0,0,0,1,0,0,0,0,0,23,0.16666666666666669,0.03314917127071823,0.06666666666666667,0.010395010395010396
2799,30.82,20.0,0,0,0,0,0,0,0,1,0,23,0.5,0.011049723756906077,0.07692307692307694,0.009009009009009009
2800,16.52,44.0,0,0,0,1,0,0,0,0,0,23,0.20000000000000004,0.027624309392265192,0.1111111111111111,0.006237006237006237
2804,52.93,18.0,0,0,0,0,0,0,0,1,0,23,0.3333333333333333,0.016574585635359115,0.1111111111111111,0.006237006237006237
2821,64.66,20.0,0,0,0,0,1,0,0,0,0,23,0.25,0.022099447513812154,0.20000000000000004,0.003465003465003465
2823,78.67,36.0,0,0,0,0,1,0,0,0,0,23,0.3333333333333333,0.016574585635359115,0.07692307692307694,0.009009009009009009
2840,49.58,28.0,1,0,0,0,0,0,0,1,0,23,1.0,0.0055248618784530384,0.08333333333333336,0.008316008316008316
2845,53.68,26.0,1,0,0,0,0,0,0,1,0,23,0.20000000000000004,0.027624309392265192,0.05555555555555555,0.012474012474012475
2850,67.38,44.0,0,0,0,0,1,0,0,0,0,23,0.20000000000000004,0.027624309392265192,0.05000000000000003,0.01386001386001386
2852,25.16,33.0,1,0,1,0,0,0,0,0,0,23,0.3333333333333333,0.016574585635359115,0.5,0.001386001386001386
2856,82.89,40.0,0,0,0,0,0,0,1,0,0,23,0.3333333333333333,0.016574585635359115,0.016949152542372874,0.040887040887040885
2862,62.55,26.0,0,0,0,0,0,0,0,1,0,23,0.25,0.022099447513812154,0.01886792452830187,0.036729036729036726
2885,66.73,30.0,1,0,0,0,0,0,0,0,1,23,0.20000000000000004,0.027624309392265192,0.10000000000000003,0.00693000693000693
2887,67.34,40.0,1,0,0,0,0,0,0,1,0,23,0.25,0.022099447513812154,0.039999999999999994,0.017325017325017327
2930,77.92,31.0,0,0,0,0,1,0,0,0,0,24,0.25,0.022099447513812154,0.04347826086956521,0.01593901593901594
2932,40.74,31.0,0,0,0,0,0,0,0,1,0,24,0.5,0.011049723756906077,0.0625,0.011088011088011088
2940,81.83,35.0,0,0,0,1,0,0,0,0,0,24,0.3333333333333333,0.016574585635359115,0.037037037037037014,0.018711018711018712
2941,81.61,36.0,0,0,0,0,0,0,1,0,0,24,0.14285714285714285,0.038674033149171276,0.028571428571428557,0.024255024255024255
2944,66.87,30.0,0,0,0,0,0,0,0,1,0,24,0.20000000000000004,0.027624309392265192,0.039999999999999994,0.017325017325017327
2955,55.93,16.0,0,0,0,0,0,0,1,0,0,24,0.25,0.022099447513812154,0.16666666666666669,0.004158004158004158
2964,59.31,24.0,0,0,0,0,0,0,1,0,0,24,1.0,0.0055248618784530384,0.06666666666666667,0.010395010395010396
2965,76.46,22.0,0,0,0,0,1,0,0,0,0,24,0.5,0.011049723756906077,0.05000000000000003,0.01386001386001386
2966,61.05,13.0,0,1,0,0,0,0,0,0,0,24,0.16666666666666669,0.03314917127071823,0.08333333333333336,0.008316008316008316
2970,43.79,25.0,0,0,0,0,0,0,0,1,0,24,0.16666666666666669,0.03314917127071823,0.20000000000000004,0.003465003465003465
2973,61.52,18.0,1,0,0,0,0,0,0,0,1,24,0.3333333333333333,0.016574585635359115,0.07142857142857142,0.009702009702009703
2984,26.79,7.0,0,0,0,1,0,0,0,0,0,24,1.0,0.0055248618784530384,0.14285714285714285,0.0048510048510048516
2985,13.66,7.0,0,0,0,1,0,0,0,0,0,24,1.0,0.0055248618784530384,0.14285714285714285,0.0048510048510048516
2986,66.4,30.0,0,0,0,0,0,0,0,1,0,24,0.20000000000000004,0.027624309392265192,0.05000000000000003,0.01386001386001386
2992,75.47,26.0,0,0,0,1,0,0,0,0,0,24,0.3333333333333333,0.016574585635359115,0.05263157894736843,0.013167013167013169
2995,71.59,24.0,0,0,0,0,0,0,1,0,0,24,0.3333333333333333,0.016574585635359115,0.05000000000000003,0.01386001386001386
2996,56.72,24.0,1,0,0,0,0,0,0,1,0,24,0.1111111111111111,0.049723756906077346,0.125,0.005544005544005544
2997,54.68,24.0,0,0,0,1,0,0,0,0,0,24,0.25,0.022099447513812154,0.08333333333333336,0.008316008316008316
