,hot,episode,guzhuang,Bilibili,LeTV,Youku,multi,Sohu,Aiqy,Tencent,MangoTV,time,actor_con,actor_degree,director_con,director_degree
831,74.79,55.0,1,0,0,0,1,0,0,0,0,7,0.14285714285714285,0.038674033149171276,0.01785714285714287,0.03880803880803881
860,64.33,39.0,0,0,0,0,0,0,0,0,1,7,0.5,0.011049723756906077,0.10000000000000003,0.00693000693000693
863,59.51,20.0,0,0,0,0,0,0,0,0,1,7,0.3333333333333333,0.016574585635359115,0.05555555555555555,0.012474012474012475
866,53.45,24.0,0,0,0,0,0,0,0,1,0,7,0.3333333333333333,0.016574585635359115,0.05555555555555555,0.012474012474012475
878,75.81,36.0,0,0,0,0,0,0,0,1,0,7,0.14285714285714285,0.038674033149171276,0.025641025641025623,0.027027027027027032
890,55.74,30.0,0,0,0,0,0,0,0,1,0,7,0.3333333333333333,0.016574585635359115,0.125,0.005544005544005544
899,54.66,16.0,1,0,0,0,0,0,1,0,0,7,0.25,0.022099447513812154,0.14285714285714285,0.0048510048510048516
912,71.48,40.0,0,0,0,0,1,0,0,0,0,8,0.16666666666666669,0.03314917127071823,0.06666666666666667,0.010395010395010396
922,42.16,24.0,0,0,0,0,0,0,0,0,1,8,0.25,0.022099447513812154,0.037037037037037014,0.018711018711018712
924,49.14,20.0,1,0,0,0,0,0,1,0,0,8,0.1111111111111111,0.049723756906077346,0.028571428571428557,0.024255024255024255
927,56.69,36.0,0,0,0,0,1,0,0,0,0,8,0.25,0.022099447513812154,0.01886792452830187,0.036729036729036726
931,70.86,35.0,0,0,0,0,0,0,1,0,0,8,0.20000000000000004,0.027624309392265192,0.20000000000000004,0.003465003465003465
932,36.99,30.0,0,0,0,1,0,0,0,0,0,8,0.5,0.011049723756906077,0.3333333333333333,0.002079002079002079
933,37.94,30.0,0,0,0,1,0,0,0,0,0,8,0.3333333333333333,0.016574585635359115,0.5,0.001386001386001386
935,57.82,42.0,0,0,0,0,0,0,0,1,0,8,0.20000000000000004,0.027624309392265192,0.039999999999999994,0.017325017325017327
949,64.94,32.0,1,0,0,0,0,0,0,1,0,8,0.16666666666666669,0.03314917127071823,0.039999999999999994,0.017325017325017327
955,49.08,20.0,1,0,0,0,0,0,0,0,1,8,0.25,0.022099447513812154,0.0625,0.011088011088011088
988,38.0,30.0,1,0,0,1,0,0,0,0,0,8,0.3333333333333333,0.016574585635359115,0.05555555555555555,0.012474012474012475
997,88.41,40.0,0,0,0,0,0,0,1,0,0,9,0.3333333333333333,0.016574585635359115,0.016949152542372874,0.040887040887040885
1000,70.11,30.0,1,0,0,0,0,0,0,1,0,9,0.20000000000000004,0.027624309392265192,0.04347826086956521,0.01593901593901594
1046,38.0,30.0,0,0,0,1,0,0,0,0,0,9,0.3333333333333333,0.016574585635359115,0.5,0.001386001386001386
1053,59.36,48.0,0,0,0,0,1,0,0,0,0,9,0.20000000000000004,0.027624309392265192,0.20000000000000004,0.003465003465003465
